id,pln_area_n
1,MARINE PARADE
2,NORTH-EASTERN ISLANDS
3,PIONEER
4,JURONG WEST
5,KALLANG
6,NOVENA
7,PASIR RIS
8,HOUGANG
9,JURONG EAST
10,LIM CHU KANG
11,MANDAI
19,BUKIT PANJANG
20,BUKIT TIMAH
12,ANG MO KIO
13,BEDOK
14,BISHAN
15,BOON LAY
16,BUKIT BATOK
17,BUKIT MERAH
46,CHOA CHU KANG
18,TANGLIN
21,GEYLANG
53,CHANGI
22,SELETAR
23,SENGKANG
24,SERANGOON
25,DOWNTOWN CORE
26,SUNGEI KADUT
27,TAMPINES
28,ORCHARD
29,OUTRAM
30,TENGAH
31,TOA PAYOH
32,MARINA EAST
33,WOODLANDS
34,MARINA SOUTH
35,SINGAPORE RIVER
36,STRAITS VIEW
37,SIMPANG
38,SOUTHERN ISLANDS
39,TUAS
40,WESTERN ISLANDS
41,WESTERN WATER CATCHMENT
42,YISHUN
43,MUSEUM
44,NEWTON
45,CHANGI BAY
47,CLEMENTI
48,PAYA LEBAR
49,PUNGGOL
50,QUEENSTOWN
51,SEMBAWANG
52,CENTRAL WATER CATCHMENT
54,RIVER VALLEY
55,ROCHOR
